event,date,location,filename,caption,credit
World Masters Athletics Championships,2026-08-22,"Daegu, South Korea",gallery/wmac-1.jpg,,
World Masters Athletics Championships,2026-08-22,"Daegu, South Korea",gallery/wmac-2.jpg,,
World Masters Athletics Championships,2026-08-22,"Daegu, South Korea",gallery/wmac-3.jpg,,
World Masters Athletics Championships,2026-08-22,"Daegu, South Korea",gallery/wmac-4.jpg,,
World Masters Athletics Championships,2026-08-22,"Daegu, South Korea",gallery/wmac-5.jpg,,
World Masters Athletics Championships,2026-08-22,"Daegu, South Korea",gallery/wmac-6.jpg,,
World Masters Athletics Championships,2026-08-22,"Daegu, South Korea",gallery/wmac-7.jpg,,
World Masters Athletics Championships,2026-08-22,"Daegu, South Korea",gallery/wmac-8.jpg,,
Group Ride & Breakfast Social,2026-08-30,Albuquerque,gallery/nmtc-biking-1.jpg,Top of Elena photo by young rider passing by,
Group Ride & Breakfast Social,2026-08-30,Albuquerque,gallery/nmtc-biking-2.jpg,A quick roadside stop along the route,
Group Ride & Breakfast Social,2026-08-30,Albuquerque,gallery/nmtc-biking-3.jpg,The Sandia Mountains as a backdrop,
Group Ride & Breakfast Social,2026-08-30,Albuquerque,gallery/nmtc-biking-4.jpg,Top of the ride at the Tram,
Group Ride & Breakfast Social,2026-08-30,Albuquerque,gallery/nmtc-biking-5.jpg,Post-ride breakfast with our hosts,
